time,log10_antibodies_mean,log10_antibodies_median,log10_antibodies_95ci_lower,log10_antibodies_95ci_upper,susceptibility_mean,susceptibility_median,susceptibility_95ci_lower,susceptibility_95ci_upper
61,3.303619917022564,3.3066310011669326,2.662826337539427,3.9224707823039657,0.16978801413211742,0.1319588390387669,0.022034770976507894,0.5279820735950106
62,3.2996229863333166,3.302475436989417,2.6558762307198873,3.919599359702844,0.17145359306841965,0.13344147227816688,0.02222740850672575,0.5333480937582876
63,3.2953933502024424,3.2984958279128183,2.6508543834100897,3.914943802164518,0.17321957767682414,0.13487447838890124,0.022543244164744878,0.5372206239395099
64,3.2911191910188595,3.294001132727199,2.645100683883592,3.9113312502725646,0.175018591883198,0.13650857923117454,0.02279133384646817,0.5416519703262295
65,3.287044275669988,3.2903941128354375,2.63789804586243,3.9080428001648655,0.17675546100815334,0.13783198369189592,0.023019488927204946,0.5471898982087945
66,3.2829124561050813,3.2862632388306823,2.629928800428626,3.9058964363708517,0.1785239477832592,0.1393608125550408,0.023169600851515912,0.5533036110935559
67,3.278585796066081,3.2814700839177284,2.625297488738872,3.9009688037152186,0.18038154723307548,0.14115253815617676,0.02351786286913218,0.5568493108257994
68,3.274320015746247,3.2780384361558843,2.6189833468313455,3.8976514527954644,0.18223015881860963,0.1424471036133767,0.023755186981037513,0.5616739873247607
69,3.2702115931736806,3.274371169172679,2.6126631151499073,3.8947187280534514,0.18402997411533248,0.14384148930726465,0.02396694122630958,0.5664916665470933
70,3.2659658778297977,3.2704615683943583,2.606514018036998,3.8914925606101063,0.18589702034377706,0.14534050560562697,0.024202009933173053,0.5711668654732374
71,3.261523461561583,3.266140152255975,2.600146910856565,3.888197304203607,0.18785285050235478,0.1470124771229676,0.02444443277622326,0.5759944766950069
72,3.2572135649739367,3.2612076318844707,2.5929265585431853,3.884938451416553,0.18977085732367382,0.1489403104566584,0.024686505752555096,0.5814514736587847
73,3.253101071785173,3.257739327535588,2.586329367965441,3.8815361651995484,0.19162628472709445,0.15030832057992524,0.024941726426747725,0.5864201641427347
74,3.248789240277569,3.253592303846709,2.5793218057482945,3.8780488823326666,0.19357179730522583,0.15195759893293448,0.025205992149579394,0.5916787070177543
75,3.2442686905880804,3.249321855592056,2.5748611087248072,3.8752506428981066,0.1956078773911474,0.1536714529601109,0.025420009023789433,0.5950152082077033
76,3.2399336697738046,3.2452659966694215,2.567126495303805,3.8723674974450937,0.1975887918549613,0.15531380460889757,0.025642373151083128,0.6007796686974785
77,3.235732887585265,3.240875468331801,2.5601556197339495,3.8691465820399693,0.19953479637802457,0.15710779253427526,0.02589302777406233,0.6059511663218498
78,3.2313445109997403,3.236505318154582,2.554566245777328,3.865613505891345,0.2015611869411954,0.15891016175301226,0.026170719185296665,0.6100807470100321
79,3.2267956378182445,3.232366224789648,2.5487866339909337,3.862891702543679,0.2036589572140701,0.16063266199307807,0.026386620963004485,0.6143343217649574
80,3.222461454909644,3.227981170891608,2.542831580026002,3.8609213460637593,0.205692300799725,0.16247395990246175,0.026543993467132952,0.61869883574487
81,3.2181761103210347,3.2240373850091166,2.5370669512356794,3.856635184487838,0.20772104181214104,0.16414446348198714,0.026889495454574582,0.6229055783375855
82,3.2137112952882467,3.21992173684911,2.530804696311997,3.8528565626851274,0.20982715289203543,0.1659024536794354,0.027197703782647676,0.627454599117891
83,3.209158514610717,3.215947717332175,2.5226630824749274,3.849692957893353,0.2119822133474903,0.1676142303329515,0.02745838835521644,0.6333351286961211
84,3.204785989286512,3.2117096045015536,2.513406295124497,3.846764407306115,0.21408242008666853,0.16945527401817156,0.02770187049556932,0.6399731239053874
85,3.2004028929552866,3.2076174451224784,2.5068004577440197,3.843547386663329,0.21619501584889414,0.17124815586897263,0.027971752046250572,0.6446777711996359
86,3.195862771864094,3.203198852353986,2.4999470543672198,3.839424962101645,0.21838207041763602,0.17320091714871902,0.028321319105329642,0.6495293437178847
87,3.19129831271158,3.1988428934009185,2.4933836823183744,3.8366744583553394,0.2205981097940057,0.17514318773734766,0.02855690838511857,0.6541468484700083
88,3.1868701036108433,3.1943520095796867,2.4853418599297785,3.833069763894699,0.2227685069510515,0.17716353892435344,0.028868546140668274,0.6597650206431506
89,3.182428700569315,3.1900294662394755,2.478074987281749,3.8299643926244666,0.22494869028520953,0.17912538895924646,0.029139656899216704,0.6648034936716501
90,3.177829177885389,3.1859076966546644,2.4708530246111082,3.82564088113243,0.2272095624254078,0.18101189051103184,0.029521234819938413,0.669773890892312
91,3.1732740836394777,3.1812219154668595,2.463722005357169,3.8220796679033784,0.22946924422138198,0.18317529852119202,0.02983916842736644,0.6746447673280402
92,3.1688370792288785,3.177248760990079,2.456446987794972,3.819152136909727,0.23168738622380916,0.1850253539133075,0.030103013782975297,0.6795754213117061
93,3.1642642998942496,3.1726011711447706,2.4494795906136884,3.816853428804226,0.2339728743289451,0.18720774711691007,0.030311767290329774,0.6842602633039662
94,3.159556451677293,3.1684226516778535,2.4395411793472075,3.8141624462578414,0.23632630267993954,0.18918673882941142,0.03055792799536995,0.6908784472035328
95,3.1550120898296323,3.1636677826261748,2.4312161231749942,3.810932786149866,0.2386212962267477,0.19145816340888136,0.03085592119711661,0.6963627598058135
96,3.150568521148293,3.159426314453467,2.423069185596821,3.8084309767959317,0.24088667791143695,0.1935018466208554,0.031088689608527228,0.701676173918824
97,3.145925131896065,3.1554669533799045,2.417616210267051,3.8054108477604247,0.2432492922459728,0.19542452395430066,0.03137194684331777,0.7052025685295582
