time,antibodies,susceptibility
280,204.41389403572165,0.6404636550787216
281,201.8951920825146,0.64429282387735
282,199.62172205594268,0.6477743656844432
283,197.3646990060159,0.6512544388411611
284,194.8858616963732,0.6551038249807388
285,192.56928552170342,0.6587271307729432
286,190.45044123384326,0.6620631193596536
287,188.17499208061432,0.6656690663598378
288,185.8206084385227,0.6694256404104728
289,183.69423558268412,0.6728407545685872
290,181.66716443486683,0.6761161439100737
291,179.3949357414429,0.6798106030346328
292,177.2035295474845,0.6833966214947113
293,175.2389435835667,0.6866306397936874
294,173.21602162861916,0.689979615068788
295,171.02311642133506,0.6936316718003238
296,169.01338928150957,0.6969984381550308
297,167.1543374870632,0.7001295986423071
298,165.10515744009044,0.7035996703293287
299,163.05865402660874,0.7070847159882869
300,161.21478933359194,0.7102413307191655
301,159.3842348456119,0.7133907215738038
302,157.36934855479421,0.7168751123443111
303,155.48780237675507,0.7201457524922489
304,153.76853995312933,0.7231484563719088
305,151.92056399053226,0.7263909650182743
306,150.01162973849122,0.7297566742692639
307,148.28682669208186,0.7328118497138766
308,146.63732519968102,0.7357461029362578
309,144.7928544987287,0.7390415182884672
310,143.02069255278712,0.742221903399218
311,141.4273297158063,0.7450931692226185
312,139.77857908340042,0.7480758777029318
313,138.00295623071727,0.7513012307173296
314,136.3783665489261,0.7542640543256923
315,134.87034235574296,0.757024305459727
316,133.20465983363266,0.7600842264387134
317,131.5479637993502,0.7631390718813044
318,130.05679414998008,0.7658983394243666
319,128.5712910272496,0.7686561023160774
320,126.93748831734007,0.7716994025179281
321,125.41522655979327,0.7745444511843429
322,124.02338089906209,0.7771536842945387
323,122.52280220619538,0.7799751204553402
324,120.9787947164307,0.7828871405372689
325,119.58439127634557,0.785524665347081
326,118.24490017535615,0.7880650601273494
327,116.74942735054499,0.7909089492743338
328,115.31937221615217,0.7936358685435912
329,114.03053351302783,0.7960996163891286
330,112.6887493633984,0.7986706105570329
331,111.25373804928518,0.8014269126247308
332,109.94360518012687,0.8039492484234343
333,108.72200331361836,0.8063060954689152
334,107.36939548078863,0.8089211433542542
335,106.03206891544598,0.8115121384178671
336,104.82887611655752,0.8138478004832237
337,103.62307596123904,0.8161927259998009
338,102.30095970542705,0.8187685495097219
339,101.07312324362377,0.821164958327568
340,99.94823385036334,0.8233639341207075
341,98.73001147770535,0.8257490032137736
342,97.48387530318911,0.828192503069345
343,96.35953560714051,0.8304003339387037
344,95.2730900126861,0.8325364874206406
345,94.06198667247472,0.8349207772631148
346,92.91028651708336,0.837190956328771
347,91.86989115012038,0.8392439995070266
348,90.77900520634772,0.8413988692172498
349,89.6212148546497,0.8436882194402722
350,88.5667799592822,0.8457751573559544
351,87.57820426445647,0.8477333349572558
352,86.48089684275601,0.8499085675816481
353,85.40380545465953,0.8520453139970008
354,84.43469061421597,0.8539690892529527
355,83.45584889684099,0.8559132539387023
356,82.38782180736665,0.8580356725602843
357,81.3998180049103,0.8599999830835323
358,80.49174067590417,0.8618060627556245
359,79.51624867644188,0.8637468376121664
