time,log10_antibodies_mean,log10_antibodies_median,log10_antibodies_95ci_lower,log10_antibodies_95ci_upper,susceptibility_mean,susceptibility_median,susceptibility_95ci_lower,susceptibility_95ci_upper
109,3.0897843606514366,3.102922918297854,2.3308906227727975,3.7650577610119593,0.44147554879618484,0.42090459511001577,0.08535796093622047,0.8883740222519283
110,3.0850052841334574,3.0984512966636,2.3228838816599433,3.7620771684732026,0.44435890558011687,0.4242870341831446,0.08608210339105003,0.8908117728784549
111,3.0803674360203344,3.094061355122974,2.3133975205907764,3.759793502310296,0.4471510245896725,0.4276146046739203,0.08664068458660054,0.8936394511952398
112,3.075658376117867,3.089820086269335,2.305389118132557,3.757247495670915,0.4499820152956554,0.43083571646788055,0.08726730062755715,0.8959761626203439
113,3.0707776671363973,3.085111725778141,2.297038865374177,3.753971408232267,0.45291414306708866,0.43441842658999896,0.08807963210638854,0.8983641653219369
114,3.0659464317838436,3.0810569306848863,2.2883821456339435,3.749465099743858,0.4558122362344877,0.4375093378371277,0.08920817407260574,0.9007883921009162
115,3.0612696611032764,3.0770095664929613,2.2795331155383463,3.746782323210765,0.4586123218890616,0.44059943071766305,0.0898862017111885,0.9032131416714911
116,3.056509929726288,3.0724398741161973,2.2710201432542787,3.743326569741127,0.4614573733835501,0.4440938406111753,0.09076644212514234,0.9054957310775342
117,3.0516195340505794,3.0673477154502846,2.263362899691599,3.7395222659644465,0.46437622395783146,0.4479942864718657,0.09174448228966377,0.9075075589427553
118,3.0467880404178826,3.0624947202436434,2.255575688475714,3.736402458790035,0.46725619812767427,0.45171751569364105,0.09255364605676544,0.909514003538203
119,3.0420067813475495,3.0582405246312434,2.247226660702619,3.735250844619401,0.47010082993214125,0.4549858033278379,0.09285386379750722,0.9116215963369375
120,3.037177126630263,3.053584269744395,2.2388009710672643,3.7339328259045645,0.4729675997756405,0.4585674179926909,0.09319852264183559,0.9137034918419493
121,3.0323031755098304,3.048967402913087,2.230831131413078,3.732182174640825,0.47585511179187234,0.46212296814057396,0.09365818056807333,0.9156317784189841
122,3.027492471738616,3.043594148569051,2.2222542980077975,3.730148589865573,0.4786986383722839,0.4662658609571053,0.09419468627440024,0.9176631469805774
123,3.0226830748077598,3.0389461747641335,2.213389306951341,3.7276594986971983,0.4815344921974524,0.46985332518920064,0.09485513175838255,0.9197158851125452
124,3.0177898409291948,3.0346106187160657,2.2040784215831986,3.724616040732033,0.48441584560063455,0.47320247281227257,0.09566827449893665,0.9218214953811419
125,3.0128429602821956,3.029935770334344,2.195599898525252,3.7226551881729004,0.48732551500645266,0.4768164137359078,0.09619544967962404,0.9236947746954121
126,3.0080004347540217,3.0255486626034473,2.187295688581603,3.7192488745118544,0.4901633814437452,0.4802101302182553,0.09711744869376032,0.9254895436197162
127,3.0031808343034982,3.0212775184898506,2.1789817209878453,3.7163414401433803,0.4929777109406117,0.4835158995978849,0.09791063298718189,0.927247459226608
128,2.9982281889935227,3.0165736756443375,2.1706383372827482,3.7124633127039868,0.49586738956613474,0.48715822642591167,0.09897763118763717,0.9289731016299642
129,2.9932358920726876,3.012198347794335,2.162187048735742,3.7087871358849065,0.4987759429784224,0.49054740686041987,0.09999861279586826,0.9306824548162184
130,2.988404411087337,3.007174864881671,2.1524723195649336,3.704500071224674,0.50157687188265,0.49443970894770783,0.10120107079905336,0.9326002790609754
